"ID","consent","segmentation.westinC.","segmentation.westinM.","segmentation.westinE.","sebisLikert.sebisF04.","sebisLikert.sebisF06.","sebisLikert.sebisF03.","sebisLikert.sebisF05.","sebisLikert.sebisF12.","sebisLikert.sebisF13.","sebisLikert.sebisF15.","sebisLikert.sebisF14.","sebisLikert.sebisF08.","sebisLikert.sebisCheck.","sebisLikert.sebisF11.","sebisLikert.sebisF16.","sebisLikert.sebisF10.","sebisLikert.sebisF07.","sebisLikert.sebisF01.","sebisLikert.sebisF02.","sebisLikert.sebisF09.","virusLikert.folkV01.","virusLikert.folkV02.","virusLikert.folkV03.","virusLikert.folkV04.","virusLikert.folkV05.","virusLikert.folkV06.","virusLikert.folkV07.","virusLikert.folkV08.","virusLikert.folkV09.","virusLikert.folkV10.","virusLikert.folkV11.","virusLikert.folkV12.","virusLikert.folkV13.","virusLikert.folkV14.","virusLikert.folkV15.","virusLikert.folkV16.","virusLikert.folkV17.","virusLikert.folkV18.","virusPrecautions.folkVP01.","virusPrecautions.folkVP02.","virusPrecautions.folkVP03.","virusPrecautions.folkVP04.","virusPrecautions.folkVP05.","virusPrecautions.folkVP06.","virusPrecautions.folkVP07.","virusPrecautions.folkVP08.","hackersLikert.folkH01.","hackersLikert.folkH02.","hackersLikert.folkH03.","hackersLikert.folkH04.","hackersLikert.folkH05.","hackersLikert.folkH06.","hackersLikert.folkH07.","hackersLikert.folkH08.","hackersLikert.folkHCheck.","hackersLikert.folkH09.","hackersLikert.folkH10.","hackersLikert.folkH11.","hackersLikert.folkH12.","hackersLikert.folkH13.","hackersLikert.folkH14.","hackersLikert.folkH15.","hackersLikert.folkH16.","hackerPrecautions.folkHP01.","hackerPrecautions.folkHP02.","hackerPrecautions.folkHP03.","hackerPrecautions.folkHP04.","hackerPrecautions.folkHP05.","hackerPrecautions.folkHP06.","hackerPrecautions.folkHP07.","hackerPrecautions.folkHP08.","hackerPrecautions.folkHP09.","hackerPrecautions.folkHP10.","cybok01","cybok02","cybok03","cybok04","cybok05","cybok06","cybok07","cybok08","cybok09","cybok10","cybok11","cybok12","cybok13","cybok14","cybok15","cybok16","cybok17","cybok18","cybok19","onlineActivities.email.","onlineActivities.sn.","onlineActivities.news.","onlineActivities.conf.","onlineActivities.im.","onlineActivities.stream.","onlineActivities.games.","onlineHours","general.folkG01.","general.folkG02.","general.folkG03.","general.folkG04.","general.folkG05.","general.folkG06.","general.folkG07.","general.folkG08.","edu","ITbg","cyberBg","highschool","undergrad","englishLevel","courses.cs.","courses.net.","courses.os.","courses.usec.","courses.se.","courses.prof.","courses.hci.","courses.crypto.","courses.sp.","courses.block.","courses.ethics.","courses.cyber.","courses.iot.","courses.st.","courses.arch.","courses.ds.","courses.none.","courseCurrent.sd.","courseCurrent.crypto.","courseCurrent.iot.","courseCurrent.sp.","courseCurrent.arch.","courseCurrent.usec.","courseCurrent.os.","courseCurrent.st.","courseCurrent.cs.","courseCurrent.none.","certificates","age","gender","courseConsent","researchConsent","interviewtime"
"1","Agree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Often","Always","Sometimes","Always","Sometimes","Always","Often","Rarely","Rarely","Often","Rarely","Never","Often","Never","Always","Always","Often","Strongly Agree","Neither Agree nor Disagree","Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Agree","Disagree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Strongly Agree","Disagree","Disagree","Sometimes","Sometimes","Always","Often","Often","Always","Always","Always","Neither Agree nor Disagree","Agree","Disagree","Agree","Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Rarely","Always","Rarely","Always","Always","Always","Never","Sometimes","Sometimes","Always","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Multiple Times a Day","Multiple Times a Day","Daily","Daily","Multiple Times a Day","Daily","Never","2-4 hours","Agree","Agree","Agree","Disagree","Agree","Disagree","Neither Agree nor Disagree","Agree","MSc (Masters) student","No","None","EU","EU","Fluent","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",25,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1558.49
"2","Agree","Somewhat Agree","Strongly Disagree","Somewhat Agree","Always","Always","Often","Always","Often","Always","Often","Sometimes","Never","Always","Sometimes","Often","Rarely","Often","Rarely","Sometimes","Rarely","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Disagree","Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Strongly Agree","Agree","Strongly Disagree","Often","Always","Often","Sometimes","Rarely","Always","Often","Always","Agree","Agree","Neither Agree nor Disagree","Agree","Disagree","Agree","Neither Agree nor Disagree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Agree","Strongly Agree","Disagree","Never","Rarely","Never","Often","Often","Always","Sometimes","Always","Rarely","Often","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Daily","Multiple Times a Day","Multiple Times a Day","Once a Week","Multiple Times a Day","Multiple Times a Day","Daily","5-7 hours","Disagree","Agree","Agree","Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Agree","UG4 student","Yes","None","EU","","Fluent","Yes","No","Yes","No","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No",20,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1500.51
"3","Agree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Always","Always","Sometimes","Sometimes","Always","Sometimes","Never","Rarely","Rarely","Always","Never","Sometimes","Always","Sometimes","Rarely","Sometimes","Never","Agree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Agree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Always","Always","Often","Rarely","Rarely","Always","Always","Sometimes","Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Rarely","Rarely","Rarely","Rarely","Often","Always","Rarely","Sometimes","Rarely","Often","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Daily","Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","Multiple Times a Day","Multiple Times a Day","Daily","8-10 hours","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Strongly Agree","Disagree","Disagree","Agree","UG4 student","Yes","None","United Kingdom","United Kingdom","Native speaker","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No",22,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",639.8
"4","Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Often","Always","Rarely","Always","Always","Sometimes","Rarely","Often","Often","Often","Often","Sometimes","Never","Rarely","Sometimes","Often","Sometimes","Agree","Disagree","Neither Agree nor Disagree","Agree","Strongly Agree","Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Agree","Strongly Disagree","Neither Agree nor Disagree","Agree","Disagree","Strongly Agree","Agree","Disagree","Often","Often","Often","Often","Sometimes","Often","Often","Often","Disagree","Disagree","Agree","Disagree","Neither Agree nor Disagree","Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Rarely","Sometimes","Rarely","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Daily","Multiple Times a Day","2-3 Times a Week","2-3 Times a Month","5-7 hours","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","MSc (Masters) student","No","None","overseas","overseas","Moderate","No","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",24,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",815.52
"5","Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Always","Always","Often","Always","Often","Often","Sometimes","Always","Sometimes","Always","Rarely","Sometimes","Rarely","Sometimes","Often","Rarely","Sometimes","Agree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Agree","Disagree","Strongly Agree","Neither Agree nor Disagree","Disagree","Always","Always","Always","Often","Sometimes","Always","Always","Often","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Disagree","Strongly Agree","Disagree","Rarely","Always","Never","Sometimes","Always","Always","Rarely","Always","Often","Often","No","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Multiple Times a Day","Multiple Times a Day","Once a Week","Once a Month or Less","2-3 Times a Month","2-3 Times a Month","Once a Month or Less","More than 10 hours","Agree","Agree","Agree","Disagree","Agree","Agree","Neither Agree nor Disagree","Agree","MSc (Masters) student","Yes","None","overseas","EU","Fluent","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No",23,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1166.17
"6","Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Always","Always","Always","Often","Often","Always","Rarely","Sometimes","Rarely","Always","Sometimes","Never","Always","Always","Sometimes","Often","Often","Strongly Agree","Strongly Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Neither Agree nor Disagree","Agree","Disagree","Neither Agree nor Disagree","Agree","Disagree","Strongly Agree","Neither Agree nor Disagree","Disagree","Always","Always","Always","Often","Often","Often","Always","Always","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Rarely","Often","Rarely","Always","Always","Always","Often","Often","Often","Often","Yes","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Multiple Times a Day","Daily","Daily","2-3 Times a Week","Daily","2-3 Times a Week","2-3 Times a Week","8-10 hours","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Agree","Disagree","Neither Agree nor Disagree","Strongly Agree","PhD student","Yes","None","EU","EU","Fluent","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No",26,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1224.92
"7","Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Always","Always","Always","Often","Always","Sometimes","Sometimes","Rarely","Often","Always","Often","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Agree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Disagree","Often","Sometimes","Often","Rarely","Rarely","Always","Often","Often","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Neither Agree nor Disagree","Disagree","Agree","Agree","Agree","Disagree","Rarely","Rarely","Rarely","Often","Sometimes","Often","Sometimes","Sometimes","Rarely","Often","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","Daily","Daily","2-3 Times a Week","Once a Month or Less","Multiple Times a Day","Daily","2-3 Times a Week","5-7 hours","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","UG1/UG2 student","No","3+ years","overseas","","Fluent","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",19,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",970.22
"8","Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Always","Always","Often","Always","Always","Always","Always","Never","Often","Always","Often","Never","Rarely","Sometimes","Always","Always","Never","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Strongly Agree","Strongly Disagree","Never","Always","Often","Never","Always","Never","Rarely","Always","Neither Agree nor Disagree","Strongly Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Rarely","Always","Never","Sometimes","Always","Often","Never","Rarely","Never","Always","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","More than 10 hours","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Disagree","Strongly Agree","UG1/UG2 student","Yes","None","United Kingdom","","Native speaker","No","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",18,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1002.28
"9","Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Sometimes","Always","Often","Always","Always","Sometimes","Often","Rarely","Never","Always","Never","Sometimes","Always","Sometimes","Often","Often","Always","Strongly Agree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Disagree","Agree","Disagree","Agree","Neither Agree nor Disagree","Disagree","Disagree","Agree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Neither Agree nor Disagree","Always","Always","Always","Rarely","Always","Always","Always","Always","Agree","Strongly Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Sometimes","Always","Sometimes","Sometimes","Always","Always","Never","Always","Rarely","Often","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Multiple Times a Day","Never","2-3 Times a Month","Multiple Times a Day","Multiple Times a Day","Daily","2-3 Times a Month","More than 10 hours","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","MSc (Masters) student","Yes","None","EU","United Kingdom","Native speaker","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Other",24,"Other","Yes - use my answers in the USEC course","Yes - use my answers for academic research",641.37
"10","Agree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Always","Always","Always","Always","Often","Often","Sometimes","Never","Never","Always","Sometimes","Never","Always","Never","Often","Always","Always","Agree","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Disagree","Always","Always","Always","Always","Always","Always","Always","Always","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Strongly Agree","Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Sometimes","Always","Sometimes","Rarely","Always","Often","Always","Always","Often","Always","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Multiple Times a Day","Daily","2-3 Times a Week","2-3 Times a Month","Multiple Times a Day","Never","Never","More than 10 hours","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","PhD student","No","None","overseas","overseas","Fluent","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No",38,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1611.77
