"","ID","consent","segmentation.westinC.","segmentation.westinM.","segmentation.westinE.","sebisLikert.sebisF04.","sebisLikert.sebisF06.","sebisLikert.sebisF03.","sebisLikert.sebisF05.","sebisLikert.sebisF12.","sebisLikert.sebisF12.-inverted","sebisLikert.sebisF13.","sebisLikert.sebisF15.","sebisLikert.sebisF14.","sebisLikert.sebisF14.-inverted","sebisLikert.sebisF08.","sebisLikert.sebisF08.-inverted","sebisLikert.sebisCheck.","sebisLikert.sebisF11.","sebisLikert.sebisF11.-inverted","sebisLikert.sebisF16.","sebisLikert.sebisF16.-inverted","sebisLikert.sebisF10.","sebisLikert.sebisF07.","sebisLikert.sebisF07.-inverted","sebisLikert.sebisF01.","sebisLikert.sebisF02.","sebisLikert.sebisF09.","virusLikert.folkV01.","virusLikert.folkV02.","virusLikert.folkV03.","virusLikert.folkV04.","virusLikert.folkV05.","virusLikert.folkV06.","virusLikert.folkV07.","virusLikert.folkV08.","virusLikert.folkV09.","virusLikert.folkV10.","virusLikert.folkV11.","virusLikert.folkV12.","virusLikert.folkV13.","virusLikert.folkV14.","virusLikert.folkV15.","virusLikert.folkV16.","virusLikert.folkV17.","virusLikert.folkV18.","virusPrecautions.folkVP01.","virusPrecautions.folkVP02.","virusPrecautions.folkVP03.","virusPrecautions.folkVP04.","virusPrecautions.folkVP05.","virusPrecautions.folkVP06.","virusPrecautions.folkVP07.","virusPrecautions.folkVP08.","hackersLikert.folkH01.","hackersLikert.folkH02.","hackersLikert.folkH03.","hackersLikert.folkH04.","hackersLikert.folkH05.","hackersLikert.folkH06.","hackersLikert.folkH07.","hackersLikert.folkH08.","hackersLikert.folkHCheck.","hackersLikert.folkH09.","hackersLikert.folkH10.","hackersLikert.folkH11.","hackersLikert.folkH12.","hackersLikert.folkH13.","hackersLikert.folkH14.","hackersLikert.folkH15.","hackersLikert.folkH16.","hackerPrecautions.folkHP01.","hackerPrecautions.folkHP02.","hackerPrecautions.folkHP03.","hackerPrecautions.folkHP04.","hackerPrecautions.folkHP05.","hackerPrecautions.folkHP06.","hackerPrecautions.folkHP07.","hackerPrecautions.folkHP08.","hackerPrecautions.folkHP09.","hackerPrecautions.folkHP10.","cybok01","cybok02","cybok03","cybok04","cybok05","cybok06","cybok07","cybok08","cybok09","cybok10","cybok11","cybok12","cybok13","cybok14","cybok15","cybok16","cybok17","cybok18","cybok19","onlineActivities.email.","onlineActivities.sn.","onlineActivities.news.","onlineActivities.conf.","onlineActivities.im.","onlineActivities.stream.","onlineActivities.games.","onlineHours","general.folkG01.","general.folkG02.","general.folkG03.","general.folkG04.","general.folkG05.","general.folkG06.","general.folkG07.","general.folkG08.","edu","ITbg","cyberBg","highschool","undergrad","englishLevel","courses.cs.","courses.net.","courses.os.","courses.usec.","courses.se.","courses.prof.","courses.hci.","courses.crypto.","courses.sp.","courses.block.","courses.ethics.","courses.cyber.","courses.iot.","courses.st.","courses.arch.","courses.ds.","courses.none.","courseCurrent.sd.","courseCurrent.crypto.","courseCurrent.iot.","courseCurrent.sp.","courseCurrent.arch.","courseCurrent.usec.","courseCurrent.os.","courseCurrent.st.","courseCurrent.cs.","courseCurrent.none.","certificates","age","gender","courseConsent","researchConsent","interviewtime","westin","device","password","awareness","updating"
"2",2,"Agree",3,1,3,5,5,4,5,4,2,5,4,3,3,1,5,5,3,3,4,2,2,4,2,2,3,2,3,1,3,2,2,3,2,2,2,1,3,1,3,3,2,5,4,1,4,5,4,3,2,5,4,5,4,4,3,4,2,4,3,2,2,3,3,5,5,3,4,5,2,1,2,1,4,4,5,3,5,2,4,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,"Daily","Multiple Times a Day","Multiple Times a Day","Once a Week","Multiple Times a Day","Multiple Times a Day","Daily","5-7 hours",2,4,4,2,3,2,3,4,"UG4 student",1,"None","EU","","Fluent",1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"0",20,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1500.51,"Pragmatist",4.75,3.5,2.8,2.33333333333333
"3",3,"Agree",4,1,2,5,5,3,3,5,1,3,1,2,4,2,4,5,1,5,3,3,5,3,3,2,3,1,4,1,2,2,1,2,1,3,1,3,4,1,2,2,2,4,4,2,5,5,4,2,2,5,5,3,4,2,3,3,3,3,3,3,2,3,3,4,4,4,2,4,2,2,2,2,2,4,5,2,3,2,4,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,"Daily","Multiple Times a Day","Multiple Times a Day","2-3 Times a Month","Multiple Times a Day","Multiple Times a Day","Daily","8-10 hours",5,4,4,3,5,2,2,4,"UG4 student",1,"None","United Kingdom","United Kingdom","Native speaker",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,"0",22,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",639.8,"Fundamentalist",4,2.25,4,2
"5",5,"Agree",4,2,2,5,5,4,5,4,2,4,3,5,1,3,3,5,2,4,3,3,2,3,3,4,2,3,4,2,3,3,3,5,1,4,2,1,3,2,3,4,2,5,3,2,5,5,5,4,3,5,5,4,3,2,3,5,3,2,2,4,2,2,2,5,5,3,2,5,2,2,5,1,3,5,5,2,5,4,4,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,"Multiple Times a Day","Multiple Times a Day","Once a Week","Once a Month or Less","2-3 Times a Month","2-3 Times a Month","Once a Month or Less","More than 10 hours",4,4,4,2,4,4,3,4,"MSc (Masters) student",1,"None","overseas","EU","Fluent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"0",23,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1166.17,"Fundamentalist",4.75,2.5,3,3
"6",6,"Agree",4,2,2,5,5,5,4,4,2,5,2,3,3,2,4,5,3,3,1,5,5,5,1,3,4,4,5,1,4,4,4,5,1,5,1,3,4,2,3,4,2,5,3,2,5,5,5,4,4,4,5,5,4,3,4,4,4,4,3,4,2,3,4,4,4,4,4,4,3,2,4,2,5,5,5,4,4,4,4,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"Multiple Times a Day","Daily","Daily","2-3 Times a Week","Daily","2-3 Times a Week","2-3 Times a Week","8-10 hours",3,5,5,3,4,2,3,5,"PhD student",1,"None","EU","EU","Fluent",1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"0",26,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1224.92,"Fundamentalist",4.75,3,3.6,3.66666666666667
"7",7,"Agree",2,3,3,5,5,5,4,5,1,3,3,2,4,4,2,5,4,2,2,4,2,2,4,3,3,3,4,3,2,3,3,3,2,2,2,2,3,3,3,4,4,4,4,2,4,3,4,2,2,5,4,4,3,3,2,3,3,3,2,2,2,2,2,3,2,4,4,4,2,2,2,2,4,3,4,3,3,2,4,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,"Daily","Daily","2-3 Times a Week","Once a Month or Less","Multiple Times a Day","Daily","2-3 Times a Week","5-7 hours",3,4,4,3,3,4,3,4,"UG1/UG2 student",0,"3+ years","overseas","","Fluent",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0",19,"Female","Yes - use my answers in the USEC course","Yes - use my answers for academic research",970.22,"Unconcerned",4.75,2.75,2.8,3
"8",8,"Agree",4,3,1,5,5,4,5,5,1,5,5,1,5,4,2,5,4,2,1,5,2,3,3,5,5,1,3,1,3,2,3,3,1,1,5,3,3,1,2,1,1,3,5,1,1,5,4,1,5,1,2,5,3,5,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,5,1,3,5,4,1,2,1,5,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,"Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","Multiple Times a Day","2-3 Times a Week","More than 10 hours",5,5,5,4,5,4,2,5,"UG1/UG2 student",1,"None","United Kingdom","","Native speaker",0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"0",18,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1002.28,"Pragmatist",4.75,4,2.8,3.66666666666667
"9",9,"Agree",3,1,1,3,5,4,5,5,1,3,4,2,4,1,5,5,1,5,3,3,5,3,3,4,4,5,5,1,3,3,3,4,2,4,2,4,3,2,2,4,3,5,5,3,5,5,5,2,5,5,5,5,4,5,3,4,3,3,1,4,2,1,4,4,4,3,4,4,4,3,5,3,3,5,5,1,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Multiple Times a Day","Never","2-3 Times a Month","Multiple Times a Day","Multiple Times a Day","Daily","2-3 Times a Month","More than 10 hours",4,5,5,5,5,5,4,5,"MSc (Masters) student",1,"None","EU","United Kingdom","Native speaker",1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,"Other",24,"Other","Yes - use my answers in the USEC course","Yes - use my answers for academic research",641.37,"Fundamentalist",4.25,3,4.2,4.33333333333333
"10",10,"Agree",4,2,1,5,5,5,5,4,2,4,3,1,5,1,5,5,3,3,1,5,5,1,5,4,5,5,4,1,3,1,3,3,1,4,1,2,4,1,3,2,3,5,5,2,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,5,2,4,3,3,5,5,4,5,4,3,5,3,2,5,4,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Multiple Times a Day","Daily","2-3 Times a Week","2-3 Times a Month","Multiple Times a Day","Never","Never","More than 10 hours",5,5,5,4,4,4,4,4,"PhD student",0,"None","overseas","overseas","Fluent",1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"0",38,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",1611.77,"Fundamentalist",5,3.5,4.6,4.66666666666667
"11",11,"Agree",4,3,4,3,5,5,4,2,4,3,2,1,5,2,4,5,4,2,3,3,1,3,3,5,5,5,4,1,2,4,3,4,2,3,1,3,3,4,2,4,3,5,5,3,5,5,5,5,5,5,5,5,5,3,3,3,3,4,3,3,2,4,5,3,4,3,4,4,2,3,4,2,2,2,5,5,4,4,5,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,"Daily","2-3 Times a Week","Daily","Once a Month or Less","Daily","Never","Never","8-10 hours",4,4,4,3,5,3,4,3,"UG4 student",0,"None","EU","","Fluent",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0",22,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",2958.97,"Pragmatist",4.25,3.5,2.6,5
"12",12,"Agree",2,1,2,5,5,4,4,5,1,2,4,1,5,2,4,5,4,2,1,5,3,5,1,4,5,3,4,1,3,2,2,4,4,4,1,2,3,1,3,2,1,5,5,2,5,5,5,4,3,5,1,4,2,3,4,4,4,3,2,3,2,2,2,5,2,4,2,5,2,3,5,1,3,5,4,1,5,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,"Multiple Times a Day","Multiple Times a Day","Daily","Once a Month or Less","Daily","2-3 Times a Month","Daily","8-10 hours",5,5,5,4,3,2,3,4,"PhD student",0,"None","EU","EU","Fluent",0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0",23,"Male","Yes - use my answers in the USEC course","Yes - use my answers for academic research",17454.6,"Pragmatist",4.5,3,3,4
